region_idx,a,found_x,certifies_recourse,certifies_robustness,exec_time
14,"{'u': [5.0, 12.0, 19.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 55.0, 67.0, 47.0, 23.0, 1.0], 'l': [5.0, 12.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,1.2694900000000011
15,"{'u': [7.0, 30.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 55.0, 84.0, 47.0, 23.0, 1.0], 'l': [7.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,1.733083999999998
16,"{'u': [7.0, 7.0, 3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 55.0, 85.0, 47.0, 23.0, 1.0], 'l': [7.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,1.635078
17,"{'u': [6.0, 8.0, 10.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 55.0, 85.0, 47.0, 23.0, 1.0], 'l': [6.0, 8.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,1.4833799999999968
18,"{'u': [5.0, 22.0, 13.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 55.0, 81.0, 47.0, 23.0, 1.0], 'l': [5.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,1.6808349999999947
19,"{'u': [5.0, 12.0, 13.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 55.0, 85.0, 47.0, 23.0, 1.0], 'l': [5.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,0.7338060000000013
20,"{'u': [6.0, 24.0, 9.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 55.0, 85.0, 47.0, 23.0, 1.0], 'l': [6.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,1.4881370000000018
21,"{'u': [6.0, 40.0, 6.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 55.0, 83.0, 47.0, 23.0, 1.0], 'l': [6.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,1.7413700000000034
22,"{'u': [7.0, 15.0, 5.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 55.0, 85.0, 47.0, 23.0, 1.0], 'l': [7.0, 15.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,1.3374820000000014
23,"{'u': [5.0, 10.0, 19.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 55.0, 67.0, 47.0, 23.0, 1.0], 'l': [5.0, 10.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0]}",True,False,False,0.5962449999999961
