id_for_x,ctf_id,a,found_a,abstains,certifies_infeasibility,exec_time
3112,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
3113,1,"[array(0.), array(0.), array(0.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-2.), array(0.), array(-5.), array(-2.), array(0.)]",True,False,False,0.0029279999999998196
3114,1,,False,False,True,0.0013350000000000861
3115,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
3116,1,,False,False,True,0.0013199999999997658
3117,1,"[array(0.), array(0.), array(2.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-3.), array(0.), array(-5.), array(-5.), array(0.)]",True,False,False,0.0029370000000001895
3118,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
3119,1,,False,False,True,0.0013210000000007938
3120,1,"[array(0.), array(0.), array(2.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(-5.), array(-5.), array(-1.)]",True,False,False,0.0029320000000003787
3121,1,"[array(0.), array(0.), array(2.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-5.), array(-4.), array(-1.)]",True,False,False,0.00294300000000014
3122,1,"[array(0.), array(0.), array(2.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(0.), array(1.), array(0.), array(0.), array(-5.), array(-2.), array(0.)]",True,False,False,0.0029370000000001895
3123,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
3124,1,"[array(0.), array(0.), array(2.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(0.), array(0.), array(0.), array(-5.), array(-2.), array(0.)]",True,False,False,0.0029330000000005185
3125,1,"[array(0.), array(0.), array(2.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(-3.), array(0.), array(-5.), array(-4.), array(0.)]",True,False,False,0.0029340000000006583
3126,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
3127,1,"[array(0.), array(0.), array(2.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(0.), array(0.), array(-5.), array(-5.), array(-1.)]",True,False,False,0.0029590000000006
3128,1,,False,False,True,0.0015230000000006072
3129,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
3130,1,"[array(0.), array(0.), array(2.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(0.), array(-3.), array(0.), array(-5.), array(-2.), array(0.)]",True,False,False,0.0030250000000000554
3131,1,"[array(0.), array(0.), array(2.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(0.), array(0.), array(-5.), array(-5.), array(-1.)]",True,False,False,0.0029719999999997526
3132,1,"[array(0.), array(0.), array(0.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-4.), array(-5.), array(-5.), array(-4.), array(0.)]",True,False,False,0.0029560000000001807
3133,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
